N;Q;I;M;P
1;199,94;55,81;6,16;41,55
2;200,56;56,34;7,19;42,8
3;199,02;53,86;7,6;42,08
4;201,87;56,55;9,7;40,51
5;199,18;54,95;7,98;45,33
6;200,31;56,52;7,75;42,74
7;202,68;56,96;10,31;41,49
8;201,86;58,12;8,14;42,47
9;200,71;55,98;9,27;42,4
10;200,07;55,87;9,72;41,48
11;202,77;58,59;9,12;40,46
12;199,16;56;6,78;41,01
13;201,37;57,11;8,12;41,87
14;200,37;55,52;8,1;41,01
15;200,32;55,88;9,46;43,53
16;199,51;55,04;7,43;43,26
17;200,01;56;8,16;42,73
18;200,09;55,43;8,7;44,04
19;201,79;56,48;8,75;41,31
20;201,46;56,93;6,98;41,43
21;200,13;56,97;7,21;42,55
22;201,06;56,13;9,38;43,03
23;201,24;57,55;8,49;40,86
24;201,93;57,48;8,34;40,83
25;200,94;56,61;8,62;42,09
26;200,07;55,18;8,69;42,46
27;200,07;56,22;8;41,9
28;201,74;56,96;7,97;40,18
29;201,27;56,58;9,3;41,36
30;201,65;57,47;9,09;42,71
